In,Out,SN,Time,TimeZone,_RoomId,__v,_id
1,0,FB8A8E16,2018-04-09T17:39:39.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc15e05ddf69000ed1b3cf
0,1,FB8A8E16,2018-04-09T17:40:46.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc16225ddf69000ed1b3d1
1,0,FB8A8E16,2018-04-09T17:40:55.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc162c5ddf69000ed1b3d2
0,1,FB8A8E16,2018-04-09T17:42:32.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc168b5ddf69000ed1b3d3
1,0,FB8A8E16,2018-04-09T17:55:52.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc19ac5ddf69000ed1b3d4
1,0,FB8A8E16,2018-04-09T17:57:18.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1a015ddf69000ed1b3d5
0,1,FB8A8E16,2018-04-09T17:57:29.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1a0d5ddf69000ed1b3d6
0,1,FB8A8E16,2018-04-09T18:00:05.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1aa75ddf69000ed1b3d7
1,0,FB8A8E16,2018-04-09T18:00:36.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1ac85ddf69000ed1b3d8
1,0,FB8A8E16,2018-04-09T18:03:38.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1b7d5ddf69000ed1b3d9
1,0,FB8A8E16,2018-04-09T18:03:39.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1b7e5ddf69000ed1b3da
0,1,FB8A8E16,2018-04-09T18:05:10.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1bd85ddf69000ed1b3db
0,1,FB8A8E16,2018-04-09T18:05:50.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1c035ddf69000ed1b3dc
0,1,FB8A8E16,2018-04-09T18:06:32.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1c2c5ddf69000ed1b3dd
1,0,FB8A8E16,2018-04-09T18:06:41.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1c355ddf69000ed1b3de
0,1,FB8A8E16,2018-04-09T18:08:10.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1c925ddf69000ed1b3df
1,0,FB8A8E16,2018-04-09T18:08:20.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1c9d5ddf69000ed1b3e0
0,1,FB8A8E16,2018-04-09T18:08:28.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1c9e5ddf69000ed1b3e1
1,0,FB8A8E16,2018-04-09T18:08:30.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1ca15ddf69000ed1b3e2
0,1,FB8A8E16,2018-04-09T18:09:20.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1cd35ddf69000ed1b3e4
1,0,FB8A8E16,2018-04-09T18:09:25.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1cd85ddf69000ed1b3e5
0,1,FB8A8E16,2018-04-09T18:10:11.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1d055ddf69000ed1b3e6
