SN,Time,TimeZone,In,Out
FB8A8E16,2018-03-15T16:25:31.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:25:31.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:25:47.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:26:53.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:26:53.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:27:48.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:27:48.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:32:38.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:40:30.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:40:45.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:43:15.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:43:15.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:45:42.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:48:20.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:51:41.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:57:39.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:00:07.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:00:07.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:00:07.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:03:30.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:03:40.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:05:42.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:05:40.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:08:49.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:10:20.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:33:55.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:34:30.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:34:59.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:35:36.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:45:58.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:50:40.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:52:05.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:53:15.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:53:27.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:53:53.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:53:54.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:54:24.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:54:24.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:56:42.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:59:42.000Z,+0800,0,1
FB8A8E16,2018-03-15T17:59:50.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:59:50.000Z,+0800,1,0
FB8A8E16,2018-03-15T17:59:53.000Z,+0800,1,0
FB8A8E16,2018-03-15T23:00:00.000Z,+0800,0,0
FB8A8E16,2018-03-16T08:57:09.000Z,+0800,0,1
FB8A8E16,2018-03-16T08:57:10.000Z,+0800,1,0
FB8A8E16,2018-03-16T08:58:13.000Z,+0800,1,0
FB8A8E16,2018-03-16T08:58:53.000Z,+0800,0,1
FB8A8E16,2018-03-16T08:59:52.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:02:07.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:02:10.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:04:42.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:04:42.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:05:49.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:12:38.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:13:22.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:22:51.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:28:53.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:28:53.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:31:27.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:31:51.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:40:19.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:40:19.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:40:19.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:40:19.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:40:48.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:40:48.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:40:58.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:41:05.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:41:05.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:41:36.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:43:45.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:45:53.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:46:15.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:50:02.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:53:43.000Z,+0800,1,0
FB8A8E16,2018-03-16T09:54:16.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:55:43.000Z,+0800,0,1
FB8A8E16,2018-03-16T09:55:43.000Z,+0800,0,1
FB8A8E16,2018-03-16T10:04:06.000Z,+0800,1,0
FB8A8E16,2018-03-16T10:05:40.000Z,+0800,0,1
FB8A8E16,2018-03-16T10:09:06.000Z,+0800,0,1
FB8A8E16,2018-03-16T10:14:42.000Z,+0800,1,0
FB8A8E16,2018-03-16T10:17:03.000Z,+0800,0,1
